prompt_id,final_score,layer
JTyslh5THGlHeMM2yB2fh,0.01,70-90%
dVs8wSHP8L1fMvgW_03H2,0.01,70-90%
yBi4AqDBiaxyc5iyoJGr5,0.01,70-90%
mnEwaTZeNAS1voefk6Dh6,0.01,70-90%
Qh-2lPzDhR3E00PdjI8QA,0.01,70-90%
TLrNEIqF3Paq_OpE34BYE,0.01,70-90%
II6g4gZrSfk2NSmwEEGUp,0.01,70-90%
dNS-uFc8AC3oW0RBPWh2s,0.01,70-90%
FhDSsixKFG3iVZoE17US2,0.01,70-90%
3LgCOS6X6Ufi3Ok6vSMrO,0.01,70-90%
NOHmMY2iRhlpaK3WbVKj5,0.01,70-90%
Z951cCC0jUCVGw4pq2MMc,0.01,70-90%
aomFRGMzjBjsLvu37fkvn,0.01,70-90%
LUnGeTpGIytMcoW4gzVhV,0.01,70-90%
x9As0tWzaF--lUoJMqAxC,0.01,70-90%
BEXHSNkMQV7i1neaJ94Q1,0.01,70-90%
_IMUCxD5712BgMgvncz8S,0.01,70-90%
2BYnS5de6S9P832cacWw_,0.01,70-90%
zJQr2jE7ps27L3BxhdiVH,0.01,70-90%
WH662AP3WGNyLhyUJVkvl,0.01,70-90%
10Ikk7nEVPmwNJNv6aez4,0.01,70-90%
C_1nEn6UUaa_ZjvMgEX9a,0.01,70-90%
FRLROG_ygQAjW9Fv3QlRD,0.01,70-90%
9g54CwoFBWwOk5oKj6Jxe,0.01,90-100%
dH1XrPh4rbx-Kcp-REaPQ,0.01,90-100%
pDfmYVqhnoBJErrowZsVK,0.01,90-100%
vaR-p_WqcsQC9fUoNTaAV,0.01,90-100%
ZWw1rs34TUzRADEqowL8O,0.01,90-100%
XyHW_IEyOwpb_ApfhIJz1,0.01,90-100%
uXUtRNbvCb0QEb2IWD5_u,0.01,90-100%
JAW8BdaBOQv1fdc1nZe8w,0.01,90-100%
0mfW9JOVtFyD34lMldmh7,0.01,90-100%
JlQG-gM1NkDAlEujXJG2q,0.01,90-100%
I1Jj5Feh3xKnMT0Kiieh4,0.01,90-100%
91Ny5QRDc_aGoEH8IrtZ6,0.01,90-100%
76jJDMO6LE87S-E-qucrs,0.01,90-100%
P8B4Wa_GkK8ckjlyWwqvt,0.01,90-100%
c7ffa32a-3c99-48ef-b8a4-60c0beb482f2,0.01,90-100%
mmWBnnfNHzYx_6sgSv_3f,0.01,90-100%
URr0STCCJjNYKLr29dy-P,0.01,90-100%
HKQ-ttQaiaAc-RlW80fD4,0.01,90-100%
tH2P27e-nqreEJxgkot2B,0.01,90-100%
OZH3_5v9joaMKFwtucpgJ,0.01,90-100%
a44dd5f1-ad51-466d-912b-1f7a962fd6cf,0.01,90-100%
sAv60ttWlR40jCWg4Q8aw,0.01,90-100%
Ygio8a0jbhFqd4Sd0-n7P,0.01,90-100%
MnPU9xnji9IPDzM97q7C8,0.01,90-100%
jRcijLf5vRf5ZyfiGoxEN,0.01,90-100%
9yOmoWFX6zsFH_n3u50sS,0.01,90-100%
xxdlQfD3bNDx1km33CpUI,0.01,90-100%
kmadNyaswlO2z2qPI0cS1,0.01,90-100%
nrl_mAnBaX65xrphJlgiN,0.01,90-100%
_ydbfQSDvHdXVXBw90xKy,0.01,90-100%
